Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,AssetType,FetchDate,Timeframe,Interval
2024-03-25 00:00:00,14.143647396382285,14.30437073397109,14.011286735534668,14.011286735534668,6396900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-26 00:00:00,14.134193277183803,14.181465007535575,13.888381000661203,13.982924461364746,4334800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-27 00:00:00,14.039650208413999,14.502911165449818,13.954561277196557,14.484002113342285,5404200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-28 00:00:00,14.446185457661604,14.635271477729178,14.446185457661604,14.559637069702148,6015900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-01 00:00:00,14.569090945469046,14.569090945469046,14.124738141929766,14.143647193908691,7818000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-02 00:00:00,14.049104544467061,14.124738953461863,13.850563995447386,13.992379188537598,4177800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-03 00:00:00,13.964016310203995,14.058558869274274,13.926198204615968,13.982924461364746,4014900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-04 00:00:00,14.190918359408673,14.276007286672748,13.888379851177163,13.926197052001953,4066200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-05 00:00:00,14.058558464525477,14.115284719641094,13.88838060081186,14.011286735534668,3687900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-08 00:00:00,14.105830682193934,14.342188433703038,14.05855895156546,14.32327938079834,4326000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-09 00:00:00,14.512364976810142,14.597453002204006,14.162554743113782,14.209826469421387,5873200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-10 00:00:00,13.954561642043878,14.058558726454667,13.66147763814692,13.737112045288086,6289200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-11 00:00:00,13.80329247604208,13.80329247604208,13.406211397852292,13.670931816101074,4271900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-12 00:00:00,13.444028451935614,13.661477139115101,13.368394047557253,13.425119400024414,4648000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-15 00:00:00,13.519662498043482,13.689839452568505,13.10367238335299,13.264395713806152,7692000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-16 00:00:00,13.122581081385324,13.19821548172262,12.97131228071073,13.150943756103516,5915100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-17 00:00:00,13.50075517066515,13.822201872619871,13.16985484343135,13.396758079528809,8754700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-18 00:00:00,13.472390727320265,13.661476732640228,13.368393649802586,13.500753402709961,5732100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-19 00:00:00,13.43457348779334,13.841109074292248,13.43457348779334,13.83165454864502,5108300,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-22 00:00:00,13.812745062660124,14.16255438590027,13.803291438943596,14.09637451171875,4485800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-23 00:00:00,14.077468671797993,14.228737495673236,14.0491050910964,14.068014144897461,4995400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-24 00:00:00,13.926198941994041,14.14364855247262,13.897836262934508,14.115285873413086,3939800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-25 00:00:00,14.077468124065069,14.15310253305987,13.916744779542794,13.992379188537598,6360700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-26 00:00:00,13.992377482981576,14.124737231772274,13.95456028309378,14.001832008361816,4092600,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-29 00:00:00,14.068011481340458,14.209825751464868,14.030194282531738,14.030194282531738,7339800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-04-30 00:00:00,13.964015907236284,14.398913289349357,13.954561381112113,14.105830192565918,9231100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-01 00:00:00,14.153102668273876,14.493457512002122,14.12473908840489,14.238191604614258,7892400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-02 00:00:00,14.408369511757872,14.84326784670437,14.247646155258078,14.814905166625977,14244400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
