Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,AssetType,FetchDate,Timeframe,Interval
2024-01-10 00:00:00,370.84081671988235,378.52624647847034,370.7915632878579,377.14678955078125,25514200,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-11 00:00:00,380.3293610152563,384.9406009736396,374.79192797943045,378.9794921875,27850800,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-12 00:00:00,379.82682931782017,382.969968033559,378.99917320808413,382.7630615234375,21661200,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-16 00:00:00,387.8768645882933,388.24142422003797,381.925587967106,384.5366516113281,27202300,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-17 00:00:00,382.28028145481545,384.37896483224864,379.1568380014038,383.7483825683594,22234100,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-18 00:00:00,385.9653010602353,388.2019420036005,384.3888004079398,388.0837097167969,23392100,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-19 00:00:00,389.94597903844516,392.813232421875,387.71917062186213,392.813232421875,29331100,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-22 00:00:00,394.14335115597686,394.73454265352376,387.80782060564184,390.6849365234375,27016900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-23 00:00:00,389.9360772632564,393.5127541159421,388.14280748032206,393.039794921875,20525900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-24 00:00:00,395.64111348079405,399.6710249985012,394.567129928381,396.6461181640625,24867000,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-25 00:00:00,398.3802111244257,401.03069519921775,396.6164992894369,398.922119140625,21021200,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-26 00:00:00,398.42947961915996,400.2030542350716,396.51797735014173,397.9959411621094,17803300,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-29 00:00:00,400.09466184188676,403.9570872376775,398.39006605624104,403.7008972167969,24510200,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-30 00:00:00,406.2035919940408,406.98196463436994,400.47894778438507,402.5874938964844,33477600,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-01-31 00:00:00,400.98143260936786,409.21863334219495,391.3746676938224,391.7392272949219,47871100,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-01 00:00:00,395.9267795782407,402.00615052622754,395.89722150523676,397.84814453125,30657700,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-02 00:00:00,397.8777185090492,406.58784851032016,397.63139120108593,405.1788635253906,28256700,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-05 00:00:00,403.8782071207988,405.1197062490565,398.05502654340927,399.6906433105469,25352300,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-06 00:00:00,399.9173050428237,401.97659767351126,396.99093550042556,399.53302001953125,18382600,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-07 00:00:00,401.45437538113845,408.2135819340869,401.4149545944821,407.9672546386719,22340500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-08 00:00:00,407.9671900163482,409.45501626714207,406.46953112238515,408.02630615234375,21225300,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-09 00:00:00,409.1496384913206,414.6378178606117,408.9919854136341,414.37176513671875,22032800,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-12 00:00:00,414.3816422071808,414.55899064975375,408.65699805765166,409.1595153808594,21202900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-13 00:00:00,398.991129023294,404.04577027322716,397.46391171761815,400.3508605957031,27824900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-14 00:00:00,402.81865792132635,404.5658693954015,399.3636985334278,404.2203674316406,20401200,0.75,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-15 00:00:00,402.88774815292464,403.8649984148582,399.0872869539498,401.32806396484375,21825500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-16 00:00:00,402.71006595192074,403.0358361421353,398.24824344009687,398.8602600097656,22296500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-20 00:00:00,398.05078888046796,399.284702922107,392.8881118101571,397.6065979003906,24307900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-21 00:00:00,395.0202814253688,397.112994621539,392.10823251333755,397.00439453125,18518900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-22 00:00:00,404.911427220984,407.5174384253154,403.3122791893712,406.3526306152344,27009900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-23 00:00:00,410.3208439519873,410.5083711673126,403.70705278478863,405.0594177246094,16295900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-26 00:00:00,406.16503956653713,406.8560435321,402.11779517864807,402.2955017089844,16193500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-27 00:00:00,402.73968356058333,403.0654537547415,398.65297570324026,402.23626708984375,14835800,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-28 00:00:00,402.9272470121027,404.0328292486966,400.10406595257604,402.4731750488281,13183100,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-02-29 00:00:00,403.38135996606263,408.8698077347499,400.69636155135646,408.3170166015625,31947300,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-01 00:00:00,405.9774393001269,410.5182488621106,405.5924737956083,410.15301513671875,17823400,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-04 00:00:00,408.11957070674777,411.9792577390108,407.01398846090547,409.5805358886719,17596000,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-05 00:00:00,408.6328983414729,408.919174877132,395.48433123186754,397.46844482421875,26919200,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-06 00:00:00,397.784299256291,399.94611920290095,393.26325117893276,396.9156188964844,22344100,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-07 00:00:00,400.8937829786607,404.5066873701211,397.06370848307336,403.87493896484375,18718500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-08 00:00:00,402.7100915611558,405.13845633858756,399.1267999900611,400.99249267578125,18002200,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-11 00:00:00,398.5641317733387,400.45940694447387,396.09630359488256,399.3143310546875,16120800,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-12 00:00:00,402.3744232866482,410.22212853968995,401.55511762855593,409.93585205078125,22457000,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-13 00:00:00,412.7195416563928,412.7984988938054,406.1551255049725,409.7581481933594,17115900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-14 00:00:00,414.8320308055619,422.31450262164736,412.6109854719372,419.7479553222656,34157300,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-15 00:00:00,413.8942494694405,417.16165133292435,407.4778966665496,411.0611877441406,45079900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-18 00:00:00,408.9190850547674,415.3157058481872,408.45513220227605,411.9495849609375,20106000,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-19 00:00:00,412.4530828906041,416.24369382284954,410.2024245948162,415.9870300292969,19837900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-20 00:00:00,416.569367867818,420.4783989986328,415.2466156701396,419.7578125,17860100,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-21 00:00:00,424.29864595105556,425.27592645181124,421.66302217216105,423.8445739746094,21296200,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-22 00:00:00,424.1703545566299,424.32826906328035,420.58706292422704,423.2226867675781,17648500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-25 00:00:00,419.76771231939466,421.90980053588714,416.18442081257615,417.4183349609375,18060500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-26 00:00:00,420.13293899173254,420.50805370647623,415.92778013004056,416.2239074707031,16725600,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-27 00:00:00,418.9779885582823,418.9878695106981,413.61787312123863,416.0067138671875,16705000,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-03-28 00:00:00,415.54274902029323,416.4410420434957,413.7264311944793,415.30584716796875,21871200,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-01 00:00:00,418.494337158426,422.3836369877504,416.78658912173853,419.1063537597656,16316000,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-02 00:00:00,414.7037001138204,416.94450735898084,412.4629229935154,416.0166015625,17912000,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-03 00:00:00,414.3286014685427,417.8131735008708,413.6968230222425,415.0393371582031,16502300,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-04 00:00:00,419.5209306414664,423.15359679910677,412.19643310660484,412.50244140625,19370900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-05 00:00:00,414.6050550709994,421.0214089561493,412.93680065087176,420.04412841796875,16554800,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-08 00:00:00,419.698621129678,421.7814536782747,417.85266032435015,419.1260681152344,14272400,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-09 00:00:00,420.9522561397257,422.23551472539157,416.1942762454294,420.7943115234375,12496900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-10 00:00:00,416.75696418781513,418.5732821571219,414.29901690120346,417.8132019042969,16216600,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-11 00:00:00,420.3402327247268,423.8445365841043,416.92473693729744,422.4230651855469,17966400,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-12 00:00:00,418.59299879164644,419.70846193552615,414.36807820345115,416.4706726074219,19253800,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-15 00:00:00,421.110230165818,421.3274002627743,408.1096973329742,408.3170166015625,20273500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-16 00:00:00,409.23502221897127,413.0157217686464,408.4058355582689,409.244873046875,16765600,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-17 00:00:00,411.88051429574114,413.4895430541291,405.04955278693666,406.5401306152344,15855500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-18 00:00:00,405.34570574936373,406.5895007512514,398.7516762985985,399.0675354003906,21029900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-19 00:00:00,398.8306438099327,400.2619961941858,392.6511924508159,393.98382568359375,30565800,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-22 00:00:00,394.93146005470254,397.6658329165628,390.65719496673063,395.8001403808594,20286900,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-23 00:00:00,399.0379397213986,402.94700128728675,397.8731320388209,402.3251037597656,15734500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-24 00:00:00,404.28946405238224,407.16201954597966,401.54524043863097,403.7958984375,15065300,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-25 00:00:00,388.9593393273181,394.74394432686086,383.0365516126927,393.9048767089844,40586500,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-26 00:00:00,406.86594145886636,407.6852472237732,400.5384258954466,401.0912170410156,29694700,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-29 00:00:00,400.0349411285761,401.0911788014965,394.05292813266897,397.07354736328125,19582100,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
2024-04-30 00:00:00,396.323344705487,396.9847359459567,384.16190971715395,384.31982421875,28781400,0.0,0.0,MSFT,stock,2026-01-11 09:45:12,2y,1d
