Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,AssetType,FetchDate,Timeframe,Interval
2024-01-15 00:00:00,1.0945708751678467,1.0958904027938843,1.0934100151062012,1.0945708751678467,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-16 00:00:00,1.0945708751678467,1.094666838645935,1.086708426475525,1.0945708751678467,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-17 00:00:00,1.087878942489624,1.0884946584701538,1.0845398902893066,1.087878942489624,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-18 00:00:00,1.0885775089263916,1.0907504558563232,1.084869384765625,1.0885775089263916,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-19 00:00:00,1.0879143476486206,1.0892653465270996,1.0868265628814697,1.0879143476486206,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-22 00:00:00,1.089229702949524,1.0909883975982666,1.0880327224731445,1.089229702949524,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-23 00:00:00,1.088020920753479,1.0918222665786743,1.0824267864227295,1.088020920753479,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-24 00:00:00,1.0857881307601929,1.0931470394134521,1.0851871967315674,1.0857881307601929,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-25 00:00:00,1.088174819946289,1.0900371074676514,1.0826143026351929,1.088174819946289,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-26 00:00:00,1.0847046375274658,1.0883287191390991,1.0813382863998413,1.0847046375274658,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-29 00:00:00,1.0843517780303955,1.084975242614746,1.079715371131897,1.0843517780303955,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-30 00:00:00,1.0834470987319946,1.085564136505127,1.0812681913375854,1.0834470987319946,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-01-31 00:00:00,1.08433997631073,1.088565707206726,1.0807656049728394,1.08433997631073,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-01 00:00:00,1.0803920030593872,1.086555004119873,1.078027606010437,1.0803920030593872,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-02 00:00:00,1.0874648094177246,1.0897995233535767,1.0783065557479858,1.0874648094177246,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-05 00:00:00,1.0780043601989746,1.0787487030029297,1.072466492652893,1.0780043601989746,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-06 00:00:00,1.0741831064224243,1.076310396194458,1.0724550485610962,1.0741831064224243,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-07 00:00:00,1.075719952583313,1.0784345865249634,1.0756388902664185,1.075719952583313,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-08 00:00:00,1.077574610710144,1.0789813995361328,1.074310064315796,1.077574610710144,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-09 00:00:00,1.0777255296707153,1.0794472694396973,1.0763914585113525,1.0777255296707153,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-12 00:00:00,1.0798202753067017,1.0805437564849854,1.0757662057876587,1.0798202753067017,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-13 00:00:00,1.0772264003753662,1.079563856124878,1.0702054500579834,1.0772264003753662,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-14 00:00:00,1.0708931684494019,1.0734450817108154,1.069553017616272,1.0708931684494019,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-15 00:00:00,1.0732147693634033,1.0786322355270386,1.072524070739746,1.0732147693634033,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-16 00:00:00,1.0773887634277344,1.0780508518218994,1.0734450817108154,1.0773887634277344,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-19 00:00:00,1.0784461498260498,1.0789813995361328,1.0762988328933716,1.0784927606582642,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-20 00:00:00,1.0775396823883057,1.0838581323623657,1.0762524604797363,1.0775396823883057,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-21 00:00:00,1.0813149213790894,1.0822510719299316,1.0791910886764526,1.0813149213790894,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-22 00:00:00,1.0820403099060059,1.0886249542236328,1.0805087089538574,1.0820403099060059,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-23 00:00:00,1.0825674533843994,1.0839403867721558,1.0813733339309692,1.0825674533843994,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
2024-02-26 00:00:00,1.081958293914795,1.0859060287475586,1.0813382863998413,1.0820051431655884,0,0.0,0.0,EURUSD=X,forex,2026-01-13 19:10:19,2y,1d
