Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,AssetType,FetchDate,Timeframe,Interval
2024-01-10 00:00:00,139.94262800363174,141.9276298192861,139.85330655657418,141.21302795410156,21320200,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-11 00:00:00,142.4139716480829,144.13099411000476,139.58533778589887,141.01454162597656,24008700,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-12 00:00:00,141.60011549083978,142.12613980794654,140.75649872961355,141.58026123046875,18785500,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-16 00:00:00,140.93513210487004,143.26751534885753,140.38925356432378,141.4214630126953,22670500,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-17 00:00:00,140.29003862356313,140.77635447738274,137.8583987770045,140.4091339111328,20968600,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-18 00:00:00,140.9847683324612,143.12857410055258,140.92522069629695,142.40403747558594,25746400,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-19 00:00:00,143.65458671612103,145.35175478607076,143.29728578386394,145.28228759765625,34271900,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-22 00:00:00,145.99689454630132,147.2772140972634,144.7463336676715,144.8952178955078,32200400,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-23 00:00:00,144.795946985928,146.07626640639913,144.40887226398453,145.93731689453125,21636100,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-24 00:00:00,147.42606561840296,148.72625441809143,146.98937797744674,147.58486938476562,25233500,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-25 00:00:00,148.94462008165343,151.90226857782716,148.41858066213035,150.73110961914062,29149100,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-26 00:00:00,149.96691406707075,151.39610285165156,149.87757746323862,151.04873657226562,26115500,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-29 00:00:00,150.91970223766634,152.62680519863352,150.29442175069474,152.35882568359375,27784300,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-30 00:00:00,151.6541357617942,152.46797859903648,150.05620875745953,150.32418823242188,36331800,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-01-31 00:00:00,142.54296958721974,142.92012476265015,138.8210913381924,139.04937744140625,71910000,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-02-01 00:00:00,141.05424824171908,141.98720167736062,139.7342199917544,140.10145568847656,40466500,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
2024-02-02 00:00:00,138.21567319652831,141.55047690627347,135.47637609880854,141.31228637695312,62499600,0.0,0.0,GOOGL,stock,2026-01-11 09:44:59,2y,1d
